Source,Target,Weight,Type
tweet3,tweet216,1.0,Undirected
tweet3,tweet217,1.0,Undirected
tweet3,tweet218,1.0,Undirected
tweet3,tweet230,1.0,Undirected
tweet3,tweet250,1.0,Undirected
tweet3,tweet251,1.0,Undirected
tweet3,tweet252,1.0,Undirected
tweet3,tweet254,1.0,Undirected
tweet3,tweet255,1.0,Undirected
tweet3,tweet256,1.0,Undirected
tweet3,tweet258,1.0,Undirected
tweet3,tweet259,1.0,Undirected
tweet3,tweet261,1.0,Undirected
tweet3,tweet263,1.0,Undirected
tweet3,tweet264,1.0,Undirected
tweet3,tweet265,1.0,Undirected
tweet3,tweet266,1.0,Undirected
tweet3,tweet267,1.0,Undirected
tweet3,tweet270,1.0,Undirected
tweet3,tweet273,1.0,Undirected
tweet3,tweet274,1.0,Undirected
tweet3,tweet277,1.0,Undirected
tweet3,tweet278,1.0,Undirected
tweet3,tweet279,1.0,Undirected
tweet3,tweet280,1.0,Undirected
tweet3,tweet281,1.0,Undirected
tweet3,tweet282,1.0,Undirected
tweet3,tweet286,1.0,Undirected
tweet3,tweet287,1.0,Undirected
tweet3,tweet288,1.0,Undirected
tweet3,tweet289,1.0,Undirected
tweet3,tweet290,1.0,Undirected
tweet3,tweet291,1.0,Undirected
tweet3,tweet292,1.0,Undirected
tweet3,tweet296,1.0,Undirected
tweet3,tweet297,1.0,Undirected
tweet3,tweet298,1.0,Undirected
tweet3,tweet300,1.0,Undirected
tweet3,tweet301,1.0,Undirected
tweet3,tweet302,1.0,Undirected
tweet3,tweet306,1.0,Undirected
tweet3,tweet307,1.0,Undirected
tweet3,tweet308,1.0,Undirected
tweet3,tweet309,1.0,Undirected
tweet3,tweet310,1.0,Undirected
tweet3,tweet314,1.0,Undirected
tweet3,tweet316,1.0,Undirected
tweet3,tweet318,1.0,Undirected
tweet3,tweet321,1.0,Undirected
tweet3,tweet322,1.0,Undirected
tweet3,tweet325,1.0,Undirected
tweet3,tweet326,1.0,Undirected
tweet3,tweet327,1.0,Undirected
tweet3,tweet328,1.0,Undirected
tweet3,tweet329,1.0,Undirected
tweet3,tweet331,1.0,Undirected
tweet3,tweet332,1.0,Undirected
tweet3,tweet333,1.0,Undirected
tweet3,tweet334,1.0,Undirected
tweet3,tweet335,1.0,Undirected
tweet3,tweet340,1.0,Undirected
tweet3,tweet342,1.0,Undirected
tweet3,tweet345,1.0,Undirected
tweet3,tweet346,1.0,Undirected
tweet3,tweet347,1.0,Undirected
tweet3,tweet348,1.0,Undirected
tweet3,tweet349,1.0,Undirected
tweet3,tweet350,1.0,Undirected
tweet3,tweet353,1.0,Undirected
tweet3,tweet358,1.0,Undirected
tweet3,tweet359,1.0,Undirected
tweet3,tweet361,1.0,Undirected
tweet3,tweet363,1.0,Undirected
tweet3,tweet364,1.0,Undirected
tweet3,tweet367,1.0,Undirected
tweet3,tweet368,1.0,Undirected
tweet3,tweet373,1.0,Undirected
tweet3,tweet375,1.0,Undirected
tweet3,tweet376,1.0,Undirected
tweet3,tweet377,1.0,Undirected
tweet3,tweet378,1.0,Undirected
tweet3,tweet379,1.0,Undirected
tweet3,tweet381,1.0,Undirected
tweet3,tweet382,1.0,Undirected
tweet3,tweet383,1.0,Undirected
tweet3,tweet384,1.0,Undirected
tweet3,tweet385,1.0,Undirected
tweet3,tweet386,1.0,Undirected
tweet3,tweet387,1.0,Undirected
tweet3,tweet389,1.0,Undirected
tweet3,tweet391,1.0,Undirected
tweet3,tweet392,1.0,Undirected
tweet3,tweet393,1.0,Undirected
tweet3,tweet394,1.0,Undirected
tweet3,tweet395,1.0,Undirected
tweet3,tweet396,1.0,Undirected
tweet3,tweet397,1.0,Undirected
tweet3,tweet398,1.0,Undirected
tweet3,tweet400,1.0,Undirected
tweet3,tweet402,1.0,Undirected
tweet3,tweet403,1.0,Undirected
tweet3,tweet404,1.0,Undirected
tweet3,tweet408,1.0,Undirected
tweet3,tweet410,1.0,Undirected
tweet3,tweet411,1.0,Undirected
tweet3,tweet413,1.0,Undirected
tweet3,tweet417,1.0,Undirected
tweet3,tweet418,1.0,Undirected
tweet3,tweet419,1.0,Undirected
tweet3,tweet421,1.0,Undirected
tweet3,tweet423,1.0,Undirected
tweet3,tweet424,1.0,Undirected
tweet3,tweet426,1.0,Undirected
tweet3,tweet427,1.0,Undirected
tweet3,tweet428,1.0,Undirected
tweet3,tweet429,1.0,Undirected
tweet3,tweet432,1.0,Undirected
tweet3,tweet433,1.0,Undirected
tweet3,tweet438,1.0,Undirected
tweet3,tweet439,1.0,Undirected
tweet3,tweet440,1.0,Undirected
tweet3,tweet442,1.0,Undirected
tweet3,tweet443,1.0,Undirected
tweet3,tweet444,1.0,Undirected
tweet3,tweet446,1.0,Undirected
tweet3,tweet448,1.0,Undirected
tweet3,tweet450,1.0,Undirected
tweet3,tweet451,1.0,Undirected
tweet3,tweet453,1.0,Undirected
tweet3,tweet455,1.0,Undirected
tweet3,tweet456,1.0,Undirected
tweet3,tweet457,1.0,Undirected
tweet3,tweet458,1.0,Undirected
tweet3,tweet459,1.0,Undirected
tweet3,tweet460,1.0,Undirected
tweet3,tweet461,1.0,Undirected
tweet3,tweet462,1.0,Undirected
tweet3,tweet463,1.0,Undirected
tweet3,tweet465,1.0,Undirected
tweet3,tweet466,1.0,Undirected
tweet3,tweet468,1.0,Undirected
tweet3,tweet470,1.0,Undirected
tweet3,tweet471,1.0,Undirected
tweet3,tweet472,1.0,Undirected
tweet3,tweet475,1.0,Undirected
tweet3,tweet476,1.0,Undirected
tweet3,tweet477,1.0,Undirected
tweet3,tweet478,1.0,Undirected
tweet3,tweet479,1.0,Undirected
tweet3,tweet480,1.0,Undirected
tweet3,tweet481,1.0,Undirected
tweet3,tweet482,1.0,Undirected
tweet3,tweet483,1.0,Undirected
tweet3,tweet485,1.0,Undirected
tweet3,tweet486,1.0,Undirected
tweet3,tweet487,1.0,Undirected
tweet3,tweet488,1.0,Undirected
tweet3,tweet489,1.0,Undirected
tweet3,tweet492,1.0,Undirected
tweet3,tweet493,1.0,Undirected
tweet3,tweet495,1.0,Undirected
tweet3,tweet496,1.0,Undirected
tweet3,tweet503,1.0,Undirected
tweet3,tweet504,1.0,Undirected
tweet3,tweet509,1.0,Undirected
tweet3,tweet521,1.0,Undirected
tweet3,tweet524,1.0,Undirected
tweet3,tweet525,1.0,Undirected
tweet3,tweet526,1.0,Undirected
tweet3,tweet527,1.0,Undirected
tweet3,tweet531,1.0,Undirected
tweet3,tweet532,1.0,Undirected
tweet3,tweet535,1.0,Undirected
tweet3,tweet541,1.0,Undirected
tweet3,tweet544,1.0,Undirected
tweet3,tweet546,1.0,Undirected
tweet3,tweet547,1.0,Undirected
tweet3,tweet548,1.0,Undirected
tweet3,tweet551,1.0,Undirected
tweet3,tweet552,1.0,Undirected
tweet3,tweet553,1.0,Undirected
tweet3,tweet554,1.0,Undirected
tweet3,tweet558,1.0,Undirected
tweet3,tweet562,1.0,Undirected
tweet3,tweet566,1.0,Undirected
tweet3,tweet567,1.0,Undirected
tweet3,tweet572,1.0,Undirected
tweet3,tweet580,1.0,Undirected
tweet3,tweet587,1.0,Undirected
tweet3,tweet588,1.0,Undirected
tweet3,tweet599,1.0,Undirected
tweet3,tweet603,1.0,Undirected
tweet3,tweet617,1.0,Undirected
tweet3,tweet621,1.0,Undirected
tweet3,tweet623,1.0,Undirected
tweet3,tweet625,1.0,Undirected
tweet3,tweet626,1.0,Undirected
tweet3,tweet628,1.0,Undirected
tweet3,tweet630,1.0,Undirected
tweet3,tweet631,1.0,Undirected
tweet3,tweet638,1.0,Undirected
tweet3,tweet639,1.0,Undirected
tweet3,tweet642,1.0,Undirected
tweet3,tweet643,1.0,Undirected
tweet3,tweet649,1.0,Undirected
tweet3,tweet650,1.0,Undirected
tweet3,tweet651,1.0,Undirected
tweet3,tweet655,1.0,Undirected
tweet3,tweet663,1.0,Undirected
tweet3,tweet664,1.0,Undirected
tweet3,tweet666,1.0,Undirected
tweet3,tweet673,1.0,Undirected
tweet3,tweet679,1.0,Undirected
tweet3,tweet681,1.0,Undirected
tweet3,tweet682,1.0,Undirected
tweet3,tweet698,1.0,Undirected
tweet3,tweet708,1.0,Undirected
tweet3,tweet714,1.0,Undirected
tweet3,tweet715,1.0,Undirected
tweet3,tweet722,1.0,Undirected
tweet3,tweet723,1.0,Undirected
tweet3,tweet724,1.0,Undirected
tweet3,tweet728,1.0,Undirected
tweet3,tweet729,1.0,Undirected
tweet3,tweet733,1.0,Undirected
tweet3,tweet737,1.0,Undirected
tweet3,tweet738,1.0,Undirected
tweet3,tweet739,1.0,Undirected
tweet3,tweet740,1.0,Undirected
tweet3,tweet742,1.0,Undirected
tweet3,tweet744,1.0,Undirected
tweet3,tweet747,1.0,Undirected
tweet3,tweet750,1.0,Undirected
tweet3,tweet752,1.0,Undirected
tweet3,tweet755,1.0,Undirected
tweet3,tweet756,1.0,Undirected
tweet3,tweet758,1.0,Undirected
tweet3,tweet760,1.0,Undirected
tweet3,tweet762,1.0,Undirected
tweet3,tweet764,1.0,Undirected
tweet3,tweet769,1.0,Undirected
tweet3,tweet772,1.0,Undirected
tweet3,tweet773,1.0,Undirected
tweet3,tweet774,1.0,Undirected
tweet3,tweet775,1.0,Undirected
tweet3,tweet788,1.0,Undirected
tweet3,tweet789,1.0,Undirected
tweet3,tweet791,1.0,Undirected
tweet3,tweet798,1.0,Undirected
tweet3,tweet800,1.0,Undirected
tweet3,tweet801,1.0,Undirected
tweet3,tweet802,1.0,Undirected
tweet3,tweet803,1.0,Undirected
tweet3,tweet804,1.0,Undirected
tweet3,tweet805,1.0,Undirected
tweet3,tweet807,1.0,Undirected
tweet3,tweet810,1.0,Undirected
tweet3,tweet811,1.0,Undirected
tweet3,tweet812,1.0,Undirected
tweet3,tweet813,1.0,Undirected
tweet3,tweet816,1.0,Undirected
tweet3,tweet817,1.0,Undirected
tweet3,tweet820,1.0,Undirected
tweet3,tweet822,1.0,Undirected
tweet3,tweet829,1.0,Undirected
tweet3,tweet830,1.0,Undirected
tweet3,tweet831,1.0,Undirected
tweet3,tweet833,1.0,Undirected
tweet3,tweet835,1.0,Undirected
tweet3,tweet837,1.0,Undirected
tweet3,tweet838,1.0,Undirected
tweet3,tweet840,1.0,Undirected
tweet3,tweet843,1.0,Undirected
tweet3,tweet845,1.0,Undirected
tweet3,tweet846,1.0,Undirected
tweet3,tweet849,1.0,Undirected
tweet3,tweet851,1.0,Undirected
tweet3,tweet859,1.0,Undirected
tweet3,tweet865,1.0,Undirected
tweet3,tweet867,1.0,Undirected
tweet3,tweet870,1.0,Undirected
tweet3,tweet871,1.0,Undirected
tweet3,tweet874,1.0,Undirected
tweet3,tweet878,1.0,Undirected
tweet3,tweet880,1.0,Undirected
tweet3,tweet883,1.0,Undirected
tweet3,tweet887,1.0,Undirected
tweet3,tweet890,1.0,Undirected
tweet3,tweet893,1.0,Undirected
tweet3,tweet902,1.0,Undirected
tweet3,tweet904,1.0,Undirected
tweet3,tweet905,1.0,Undirected
tweet3,tweet907,1.0,Undirected
tweet3,tweet909,1.0,Undirected
tweet3,tweet913,1.0,Undirected
tweet3,tweet916,1.0,Undirected
tweet3,tweet917,1.0,Undirected
tweet3,tweet919,1.0,Undirected
tweet3,tweet923,1.0,Undirected
tweet3,tweet925,1.0,Undirected
tweet3,tweet926,1.0,Undirected
tweet3,tweet927,1.0,Undirected
tweet3,tweet931,1.0,Undirected
tweet3,tweet932,1.0,Undirected
tweet3,tweet934,1.0,Undirected
tweet3,tweet935,1.0,Undirected
tweet3,tweet939,1.0,Undirected
tweet3,tweet940,1.0,Undirected
tweet3,tweet941,1.0,Undirected
tweet3,tweet944,1.0,Undirected
tweet3,tweet951,1.0,Undirected
tweet3,tweet960,1.0,Undirected
tweet3,tweet961,1.0,Undirected
tweet3,tweet962,1.0,Undirected
tweet3,tweet963,1.0,Undirected
tweet3,tweet965,1.0,Undirected
tweet3,tweet971,1.0,Undirected
tweet3,tweet979,1.0,Undirected
tweet3,tweet980,1.0,Undirected
tweet3,tweet984,1.0,Undirected
tweet3,tweet985,1.0,Undirected
tweet3,tweet997,1.0,Undirected
