Source,Target,Weight,Type
tweet3,tweet570,1.0,Undirected
tweet3,tweet571,1.0,Undirected
tweet3,tweet572,1.0,Undirected
tweet3,tweet575,1.0,Undirected
tweet3,tweet582,1.0,Undirected
tweet3,tweet584,1.0,Undirected
tweet3,tweet591,1.0,Undirected
tweet3,tweet599,1.0,Undirected
tweet3,tweet600,1.0,Undirected
tweet3,tweet603,1.0,Undirected
tweet3,tweet605,1.0,Undirected
tweet3,tweet607,1.0,Undirected
tweet3,tweet613,1.0,Undirected
tweet3,tweet626,1.0,Undirected
tweet3,tweet627,1.0,Undirected
tweet3,tweet629,1.0,Undirected
tweet3,tweet632,1.0,Undirected
tweet3,tweet633,1.0,Undirected
tweet3,tweet635,1.0,Undirected
tweet3,tweet643,1.0,Undirected
tweet3,tweet644,1.0,Undirected
tweet3,tweet648,1.0,Undirected
tweet3,tweet649,1.0,Undirected
tweet3,tweet653,1.0,Undirected
tweet3,tweet657,1.0,Undirected
tweet3,tweet661,1.0,Undirected
tweet3,tweet662,1.0,Undirected
tweet3,tweet664,1.0,Undirected
tweet3,tweet673,1.0,Undirected
tweet3,tweet677,1.0,Undirected
tweet3,tweet682,1.0,Undirected
tweet3,tweet684,1.0,Undirected
tweet3,tweet686,1.0,Undirected
tweet3,tweet688,1.0,Undirected
tweet3,tweet692,1.0,Undirected
tweet3,tweet695,1.0,Undirected
tweet3,tweet696,1.0,Undirected
tweet3,tweet697,1.0,Undirected
tweet3,tweet701,1.0,Undirected
tweet3,tweet706,1.0,Undirected
tweet3,tweet709,1.0,Undirected
tweet3,tweet713,1.0,Undirected
tweet3,tweet720,1.0,Undirected
tweet3,tweet722,1.0,Undirected
tweet3,tweet724,1.0,Undirected
tweet3,tweet726,1.0,Undirected
tweet3,tweet727,1.0,Undirected
tweet3,tweet729,1.0,Undirected
tweet3,tweet730,1.0,Undirected
tweet3,tweet732,1.0,Undirected
tweet3,tweet734,1.0,Undirected
tweet3,tweet735,1.0,Undirected
tweet3,tweet737,1.0,Undirected
tweet3,tweet738,1.0,Undirected
tweet3,tweet739,1.0,Undirected
tweet3,tweet743,1.0,Undirected
tweet3,tweet754,1.0,Undirected
tweet3,tweet757,1.0,Undirected
tweet3,tweet758,1.0,Undirected
tweet3,tweet759,1.0,Undirected
tweet3,tweet761,1.0,Undirected
tweet3,tweet762,1.0,Undirected
tweet3,tweet766,1.0,Undirected
tweet3,tweet768,1.0,Undirected
tweet3,tweet770,1.0,Undirected
tweet3,tweet771,1.0,Undirected
tweet3,tweet775,1.0,Undirected
tweet3,tweet778,1.0,Undirected
tweet3,tweet779,1.0,Undirected
tweet3,tweet780,1.0,Undirected
tweet3,tweet781,1.0,Undirected
tweet3,tweet783,1.0,Undirected
tweet3,tweet785,1.0,Undirected
tweet3,tweet786,1.0,Undirected
tweet3,tweet787,1.0,Undirected
tweet3,tweet790,1.0,Undirected
tweet3,tweet791,1.0,Undirected
tweet3,tweet794,1.0,Undirected
tweet3,tweet795,1.0,Undirected
tweet3,tweet796,1.0,Undirected
tweet3,tweet797,1.0,Undirected
tweet3,tweet803,1.0,Undirected
tweet3,tweet804,1.0,Undirected
tweet3,tweet805,1.0,Undirected
tweet3,tweet806,1.0,Undirected
tweet3,tweet809,1.0,Undirected
tweet3,tweet810,1.0,Undirected
tweet3,tweet814,1.0,Undirected
tweet3,tweet815,1.0,Undirected
tweet3,tweet819,1.0,Undirected
tweet3,tweet820,1.0,Undirected
tweet3,tweet821,1.0,Undirected
tweet3,tweet824,1.0,Undirected
tweet3,tweet825,1.0,Undirected
tweet3,tweet827,1.0,Undirected
tweet3,tweet830,1.0,Undirected
tweet3,tweet832,1.0,Undirected
tweet3,tweet835,1.0,Undirected
tweet3,tweet836,1.0,Undirected
tweet3,tweet841,1.0,Undirected
tweet3,tweet842,1.0,Undirected
tweet3,tweet843,1.0,Undirected
tweet3,tweet844,1.0,Undirected
tweet3,tweet846,1.0,Undirected
tweet3,tweet847,1.0,Undirected
tweet3,tweet848,1.0,Undirected
tweet3,tweet850,1.0,Undirected
tweet3,tweet851,1.0,Undirected
tweet3,tweet852,1.0,Undirected
tweet3,tweet853,1.0,Undirected
tweet3,tweet855,1.0,Undirected
tweet3,tweet856,1.0,Undirected
tweet3,tweet857,1.0,Undirected
tweet3,tweet858,1.0,Undirected
tweet3,tweet859,1.0,Undirected
tweet3,tweet860,1.0,Undirected
tweet3,tweet863,1.0,Undirected
tweet3,tweet864,1.0,Undirected
tweet3,tweet866,1.0,Undirected
tweet3,tweet869,1.0,Undirected
tweet3,tweet871,1.0,Undirected
tweet3,tweet872,1.0,Undirected
tweet3,tweet873,1.0,Undirected
tweet3,tweet875,1.0,Undirected
tweet3,tweet877,1.0,Undirected
tweet3,tweet885,1.0,Undirected
tweet3,tweet887,1.0,Undirected
tweet3,tweet888,1.0,Undirected
tweet3,tweet895,1.0,Undirected
tweet3,tweet897,1.0,Undirected
tweet3,tweet898,1.0,Undirected
tweet3,tweet901,1.0,Undirected
tweet3,tweet902,1.0,Undirected
tweet3,tweet905,1.0,Undirected
tweet3,tweet906,1.0,Undirected
tweet3,tweet907,1.0,Undirected
tweet3,tweet909,1.0,Undirected
tweet3,tweet911,1.0,Undirected
tweet3,tweet915,1.0,Undirected
tweet3,tweet918,1.0,Undirected
tweet3,tweet919,1.0,Undirected
tweet3,tweet921,1.0,Undirected
tweet3,tweet922,1.0,Undirected
tweet3,tweet924,1.0,Undirected
tweet3,tweet925,1.0,Undirected
tweet3,tweet927,1.0,Undirected
tweet3,tweet929,1.0,Undirected
tweet3,tweet930,1.0,Undirected
tweet3,tweet931,1.0,Undirected
tweet3,tweet932,1.0,Undirected
tweet3,tweet936,1.0,Undirected
tweet3,tweet937,1.0,Undirected
tweet3,tweet938,1.0,Undirected
tweet3,tweet940,1.0,Undirected
tweet3,tweet942,1.0,Undirected
tweet3,tweet943,1.0,Undirected
tweet3,tweet944,1.0,Undirected
tweet3,tweet945,1.0,Undirected
tweet3,tweet947,1.0,Undirected
tweet3,tweet948,1.0,Undirected
tweet3,tweet950,1.0,Undirected
tweet3,tweet954,1.0,Undirected
tweet3,tweet955,1.0,Undirected
tweet3,tweet956,1.0,Undirected
tweet3,tweet957,1.0,Undirected
tweet3,tweet966,1.0,Undirected
tweet3,tweet969,1.0,Undirected
tweet3,tweet970,1.0,Undirected
tweet3,tweet973,1.0,Undirected
tweet3,tweet975,1.0,Undirected
tweet3,tweet976,1.0,Undirected
tweet3,tweet978,1.0,Undirected
tweet3,tweet981,1.0,Undirected
tweet3,tweet982,1.0,Undirected
tweet3,tweet983,1.0,Undirected
tweet3,tweet986,1.0,Undirected
tweet3,tweet988,1.0,Undirected
tweet3,tweet989,1.0,Undirected
tweet3,tweet992,1.0,Undirected
tweet3,tweet994,1.0,Undirected
tweet3,tweet995,1.0,Undirected
